epoch batch k value what
0 0 110 1.34125 norm
0 0 111 0.186233 diff
0 0 111 1.37227 norm
0 0 112 0.117907 diff
0 0 112 1.39741 norm
0 0 113 0.0781292 diff
0 0 113 1.40914 norm
0 0 114 0.0519434 diff
0 0 114 1.41265 norm
0 0 115 0.0336665 diff
0 0 115 1.41258 norm
0 0 116 0.0206992 diff
0 0 116 1.41141 norm
0 0 117 0.0114429 diff
0 0 117 1.41022 norm
0 0 118 0.00479684 diff
0 0 118 1.40931 norm
0 0 119 0.0 diff
0 0 119 1.4087 norm
0 500 0 7.53824 diff
0 500 0 1.30428 norm
0 500 1 7.15815 diff
0 500 1 2.78501 norm
0 500 2 6.97044 diff
0 500 2 4.57726 norm
0 500 3 7.14259 diff
0 500 3 6.33445 norm
0 500 4 7.64914 diff
0 500 4 7.97607 norm
0 500 5 8.33319 diff
0 500 5 9.46246 norm
0 500 6 9.06308 diff
0 500 6 10.7973 norm
0 500 7 9.86052 diff
0 500 7 12.0434 norm
0 500 8 10.6311 diff
0 500 8 13.1565 norm
0 500 9 11.3442 diff
0 500 9 14.1472 norm
0 500 10 11.5996 diff
0 500 10 14.6797 norm
0 500 11 12.0046 diff
0 500 11 15.3051 norm
0 500 12 12.5061 diff
0 500 12 15.9846 norm
0 500 13 13.0573 diff
0 500 13 16.6833 norm
0 500 14 13.6286 diff
0 500 14 17.379 norm
0 500 15 14.2036 diff
0 500 15 18.0598 norm
0 500 16 14.7735 diff
0 500 16 18.7203 norm
0 500 17 15.3337 diff
0 500 17 19.3581 norm
0 500 18 15.8817 diff
0 500 18 19.9726 norm
0 500 19 16.4159 diff
0 500 19 20.5638 norm
0 500 20 16.9355 diff
0 500 20 21.132 norm
0 500 21 17.4397 diff
0 500 21 21.6777 norm
0 500 22 17.9279 diff
0 500 22 22.2011 norm
0 500 23 18.3997 diff
0 500 23 22.7025 norm
0 500 24 18.8544 diff
0 500 24 23.1818 norm
0 500 25 19.2914 diff
0 500 25 23.6388 norm
0 500 26 19.71 diff
0 500 26 24.0732 norm
0 500 27 20.109 diff
0 500 27 24.4843 norm
0 500 28 20.4872 diff
0 500 28 24.8711 norm
0 500 29 20.8427 diff
0 500 29 25.232 norm
0 500 30 21.1734 diff
0 500 30 25.5653 norm
0 500 31 21.4767 diff
0 500 31 25.8686 norm
0 500 32 21.7495 diff
0 500 32 26.1391 norm
0 500 33 21.9882 diff
0 500 33 26.3736 norm
0 500 34 22.1891 diff
0 500 34 26.5685 norm
0 500 35 22.3478 diff
0 500 35 26.7196 norm
0 500 36 22.46 diff
0 500 36 26.8229 norm
0 500 37 22.5212 diff
0 500 37 26.874 norm
0 500 38 22.5273 diff
0 500 38 26.8687 norm
0 500 39 22.4737 diff
0 500 39 26.8027 norm
0 500 40 22.3559 diff
0 500 40 26.6714 norm
0 500 41 22.1682 diff
0 500 41 26.4692 norm
0 500 42 21.9038 diff
0 500 42 26.1896 norm
0 500 43 21.5547 diff
0 500 43 25.8245 norm
0 500 44 21.1124 diff
0 500 44 25.3659 norm
0 500 45 20.5699 diff
0 500 45 24.8071 norm
0 500 46 19.9238 diff
0 500 46 24.1453 norm
0 500 47 19.1749 diff
0 500 47 23.3827 norm
0 500 48 18.3295 diff
0 500 48 22.5274 norm
0 500 49 17.3978 diff
0 500 49 21.5935 norm
0 500 50 16.3936 diff
0 500 50 20.5993 norm
0 500 51 15.3329 diff
0 500 51 19.567 norm
0 500 52 14.2341 diff
0 500 52 18.521 norm
0 500 53 13.1197 diff
0 500 53 17.4887 norm
0 500 54 12.0177 diff
0 500 54 16.5002 norm
0 500 55 10.9626 diff
0 500 55 15.5878 norm
0 500 56 9.99328 diff
0 500 56 14.7825 norm
0 500 57 9.14835 diff
0 500 57 14.1099 norm
0 500 58 8.4611 diff
0 500 58 13.5859 norm
0 500 59 7.95638 diff
0 500 59 13.2172 norm
0 500 60 7.65088 diff
0 500 60 13.0035 norm
0 500 61 7.55497 diff
0 500 61 12.9434 norm
0 500 62 7.67267 diff
0 500 62 13.0365 norm
0 500 63 7.99702 diff
0 500 63 13.283 norm
0 500 64 8.50373 diff
0 500 64 13.6773 norm
0 500 65 9.15208 diff
0 500 65 14.2034 norm
0 500 66 9.89487 diff
0 500 66 14.8351 norm
0 500 67 10.689 diff
0 500 67 15.5405 norm
0 500 68 11.5008 diff
0 500 68 16.288 norm
0 500 69 12.3066 diff
0 500 69 17.0508 norm
0 500 70 13.0914 diff
0 500 70 17.8088 norm
0 500 71 13.8468 diff
0 500 71 18.5488 norm
0 500 72 14.5685 diff
0 500 72 19.2626 norm
0 500 73 15.2552 diff
0 500 73 19.946 norm
0 500 74 15.9072 diff
0 500 74 20.5972 norm
0 500 75 16.5255 diff
0 500 75 21.2159 norm
0 500 76 17.1117 diff
0 500 76 21.8025 norm
0 500 77 17.6673 diff
0 500 77 22.3581 norm
0 500 78 18.194 diff
0 500 78 22.8837 norm
0 500 79 18.6932 diff
0 500 79 23.3804 norm
0 500 80 19.1659 diff
0 500 80 23.8491 norm
0 500 81 19.6131 diff
0 500 81 24.2907 norm
0 500 82 20.0353 diff
0 500 82 24.7056 norm
0 500 83 20.4329 diff
0 500 83 25.0941 norm
0 500 84 20.8056 diff
0 500 84 25.4561 norm
0 500 85 21.153 diff
0 500 85 25.7911 norm
0 500 86 21.4739 diff
0 500 86 26.0982 norm
0 500 87 21.767 diff
0 500 87 26.376 norm
0 500 88 22.0301 diff
0 500 88 26.6228 norm
0 500 89 22.2608 diff
0 500 89 26.8361 norm
0 500 90 22.4557 diff
0 500 90 27.0128 norm
0 500 91 22.6112 diff
0 500 91 27.1492 norm
