epoch batch train_cost
9 3000 0.162873
9 3150 0.165776
9 3300 0.162085
9 3450 0.169851
9 3600 0.169083
9 3750 0.171283
9 3900 0.170367
9 4050 0.165553
9 4200 0.164227
9 4350 0.169372
9 4500 0.16796
9 4650 0.165412
9 4800 0.16402
9 4950 0.164646
