batch k value what
500 13 2.79956 diff
500 13 2.79419 norm
500 14 2.64657 diff
500 14 2.7272 norm
500 15 2.57804 diff
500 15 2.62439 norm
500 16 2.50935 diff
500 16 2.5016 norm
500 17 2.37189 diff
500 17 2.43399 norm
500 18 2.27778 diff
500 18 2.36737 norm
500 19 2.14567 diff
500 19 2.39919 norm
500 20 2.23626 diff
500 20 2.368 norm
500 21 2.21692 diff
500 21 2.31758 norm
500 22 2.24014 diff
500 22 2.26001 norm
500 23 2.22739 diff
500 23 2.21782 norm
500 24 2.2096 diff
500 24 2.2081 norm
500 25 2.19816 diff
500 25 2.17916 norm
500 26 2.15481 diff
500 26 2.16251 norm
500 27 2.16059 diff
500 27 2.12778 norm
500 28 2.13596 diff
500 28 2.13411 norm
500 29 2.17397 diff
500 29 2.11528 norm
500 30 2.1508 diff
500 30 2.09099 norm
500 31 2.12799 diff
500 31 2.05309 norm
500 32 2.09984 diff
500 32 2.05546 norm
500 33 2.06746 diff
500 33 2.0616 norm
500 34 2.08989 diff
500 34 2.04609 norm
500 35 2.08062 diff
500 35 2.05054 norm
500 36 2.08828 diff
500 36 2.03777 norm
500 37 2.07132 diff
500 37 2.04274 norm
500 38 2.06743 diff
500 38 2.04254 norm
500 39 2.06347 diff
500 39 2.03534 norm
500 40 2.04819 diff
500 40 2.03554 norm
500 41 2.04222 diff
500 41 2.03745 norm
500 42 2.0429 diff
500 42 2.04332 norm
500 43 2.05645 diff
500 43 2.04517 norm
500 44 2.05361 diff
500 44 2.04092 norm
500 45 2.05509 diff
500 45 2.03218 norm
500 46 2.04154 diff
500 46 2.02878 norm
500 47 2.04009 diff
500 47 2.02826 norm
500 48 2.05041 diff
500 48 2.02726 norm
500 49 2.04768 diff
500 49 2.02913 norm
500 50 2.05563 diff
500 50 2.028 norm
500 51 2.04933 diff
500 51 2.03034 norm
500 52 2.05095 diff
500 52 2.02497 norm
500 53 2.05217 diff
500 53 2.02279 norm
500 54 2.04463 diff
500 54 2.02062 norm
500 55 2.04371 diff
500 55 2.02172 norm
500 56 2.04084 diff
500 56 2.02637 norm
500 57 2.04753 diff
500 57 2.02773 norm
500 58 2.04846 diff
500 58 2.02758 norm
500 59 2.04725 diff
500 59 2.02444 norm
500 60 2.04321 diff
500 60 2.02225 norm
500 61 2.04255 diff
500 61 2.02099 norm
500 62 2.0443 diff
500 62 2.02478 norm
500 63 2.04518 diff
500 63 2.02754 norm
500 64 2.04647 diff
500 64 2.02781 norm
500 65 2.0449 diff
500 65 2.02902 norm
500 66 2.04766 diff
500 66 2.02676 norm
500 67 2.04681 diff
500 67 2.0256 norm
500 68 2.04528 diff
500 68 2.02458 norm
500 69 2.04435 diff
500 69 2.02611 norm
500 70 2.04347 diff
500 70 2.02809 norm
500 71 2.04669 diff
500 71 2.02899 norm
500 72 2.04803 diff
500 72 2.02876 norm
500 73 2.04781 diff
500 73 2.02643 norm
500 74 2.04645 diff
500 74 2.02499 norm
500 75 2.04605 diff
500 75 2.02487 norm
500 76 2.04636 diff
500 76 2.02688 norm
500 77 2.04673 diff
500 77 2.02789 norm
500 78 2.04682 diff
500 78 2.02876 norm
500 79 2.04695 diff
500 79 2.02788 norm
500 80 2.04779 diff
500 80 2.02714 norm
500 81 2.04728 diff
500 81 2.02673 norm
500 82 2.04687 diff
500 82 2.02634 norm
500 83 2.04578 diff
500 83 2.02739 norm
500 84 2.04583 diff
500 84 2.02843 norm
500 85 2.04711 diff
500 85 2.02893 norm
500 86 2.04766 diff
500 86 2.02839 norm
500 87 2.0478 diff
500 87 2.02751 norm
500 88 2.04737 diff
500 88 2.027 norm
500 89 2.04679 diff
500 89 2.02727 norm
500 90 2.04703 diff
500 90 2.02819 norm
500 91 2.0472 diff
500 91 2.02874 norm
500 92 2.04714 diff
500 92 2.0289 norm
500 93 2.04769 diff
500 93 2.02833 norm
500 94 2.04773 diff
500 94 2.02797 norm
500 95 2.04772 diff
500 95 2.02779 norm
500 96 2.04746 diff
500 96 2.02786 norm
500 97 2.04693 diff
500 97 2.0283 norm
500 98 2.0472 diff
500 98 2.02862 norm
500 99 2.04751 diff
500 99 2.02875 norm
500 100 2.04793 diff
500 100 2.02839 norm
500 101 2.04794 diff
500 101 2.02801 norm
500 102 2.04773 diff
500 102 2.02792 norm
500 103 2.04742 diff
500 103 2.02816 norm
500 104 2.04748 diff
500 104 2.02846 norm
500 105 2.04751 diff
500 105 2.02871 norm
500 106 2.04757 diff
500 106 2.02862 norm
500 107 2.04783 diff
500 107 2.02834 norm
500 108 2.04771 diff
500 108 2.02825 norm
500 109 3.97573 diff
500 109 2.92854 norm
500 110 3.43283 diff
500 110 2.73311 norm
500 111 2.97346 diff
500 111 2.51465 norm
500 112 2.88471 diff
500 112 2.35869 norm
500 113 2.61099 diff
500 113 2.30345 norm
500 114 2.08292 diff
500 114 2.15766 norm
500 115 2.32416 diff
500 115 2.05328 norm
500 116 2.02116 diff
500 116 2.01516 norm
