batch k norm
1000 50 1.56649e-05
1000 51 1.66315e-05
1000 52 1.77196e-05
1000 53 1.88366e-05
1000 54 2.01105e-05
1000 55 2.14274e-05
1000 56 2.28493e-05
1000 57 2.43764e-05
1000 58 2.59641e-05
1000 59 2.7573e-05
1000 60 2.94198e-05
1000 61 3.12607e-05
1000 62 3.34398e-05
1000 63 3.55483e-05
1000 64 3.78451e-05
1000 65 4.02404e-05
1000 66 4.28613e-05
1000 67 4.56961e-05
1000 68 4.87541e-05
1000 69 5.18218e-05
1000 70 5.54737e-05
1000 71 5.90543e-05
1000 72 6.29258e-05
1000 73 6.75174e-05
1000 74 7.20744e-05
1000 75 7.69629e-05
1000 76 8.25339e-05
1000 77 8.82836e-05
1000 78 9.4549e-05
1000 79 0.000101021
1000 80 0.000107857
1000 81 0.000116006
1000 82 0.000123981
1000 83 0.000132787
1000 84 0.000142576
1000 85 0.000152484
1000 86 0.000163571
1000 87 0.000175204
1000 88 0.000187091
1000 89 0.00020009
1000 90 0.000212887
1000 91 0.000226548
1000 92 0.000243328
1000 93 0.000260002
1000 94 0.000277256
1000 95 0.000296845
1000 96 0.00031978
1000 97 0.00034269
1000 98 0.000367991
1000 99 0.000395368
1000 100 0.000425553
1000 101 0.000454671
1000 102 0.000487216
1000 103 0.00052382
1000 104 0.000560404
1000 105 0.00060509
1000 106 0.000644332
1000 107 0.000688541
1000 108 0.000737501
1000 109 0.000889491
1000 110 0.00101906
1000 111 0.00100341
1000 112 0.000985825
1000 113 0.000987267
1000 114 0.000947841
1000 115 0.000885104
1000 116 0.000807173
1000 117 0.000738126
1000 118 0.000623819
1000 119 0.000461823
1500 0 5.42413e-08
1500 1 6.22648e-08
1500 2 8.33008e-08
1500 3 1.12746e-07
1500 4 1.5813e-07
1500 5 2.24393e-07
1500 6 3.1593e-07
1500 7 4.67698e-07
1500 8 6.5696e-07
1500 9 9.03148e-07
1500 10 1.13307e-06
1500 11 1.32093e-06
1500 12 1.50872e-06
1500 13 1.69708e-06
1500 14 1.88949e-06
1500 15 2.09178e-06
1500 16 2.2825e-06
1500 17 2.47904e-06
1500 18 2.66468e-06
1500 19 2.87497e-06
1500 20 3.10705e-06
1500 21 3.31544e-06
1500 22 3.53534e-06
1500 23 3.76892e-06
1500 24 4.02079e-06
1500 25 4.28387e-06
1500 26 4.56459e-06
1500 27 4.86146e-06
1500 28 5.18064e-06
